date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:13	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%22507a7a6d-1a%22	http://wbpreview.com/robots.txt		(from )
15:45:14	30866/30866	---MCZ	200	added ('OK')	text/html	etag:W/%22500ebf09-7892%22	http://wbpreview.com/previews/WB03KT184/	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/index.html	(from )
15:45:15	111039/111039	---MCZ	200	added ('OK')	text/css	etag:W/%22500ebf0b-1b1bf%22	http://wbpreview.com/previews/WB03KT184/css/bootstrap.css	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/css/bootstrap.css	(from http://wbpreview.com/previews/WB03KT184/)
15:45:16	8076/8076	---MCZ	200	added ('OK')	text/css	etag:W/%22500ebf0a-1f8c%22	http://wbpreview.com/previews/WB03KT184/css/bootmagz_main.css	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/css/bootmagz_main.css	(from http://wbpreview.com/previews/WB03KT184/)
15:45:17	13431/13431	---MCZ	200	added ('OK')	text/html	etag:W/%22500ebf08-3477%22	http://wbpreview.com/previews/WB03KT184/page.html	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/page.html	(from http://wbpreview.com/previews/WB03KT184/)
15:45:18	24481/24481	---MCZ	200	added ('OK')	text/html	etag:W/%22500ebf09-5fa1%22	http://wbpreview.com/previews/WB03KT184/blog.html	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/blog.html	(from http://wbpreview.com/previews/WB03KT184/)
15:45:19	25951/25951	---MCZ	200	added ('OK')	text/html	etag:W/%22500ebf0a-655f%22	http://wbpreview.com/previews/WB03KT184/galleries.html	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/galleries.html	(from http://wbpreview.com/previews/WB03KT184/)
15:45:20	13321/13321	---MCZ	200	added ('OK')	text/html	etag:W/%22500ebf09-3409%22	http://wbpreview.com/previews/WB03KT184/contact.html	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/contact.html	(from http://wbpreview.com/previews/WB03KT184/)
15:45:21	27999/27999	---MCZ	200	added ('OK')	text/html	etag:W/%22500ebf09-6d5f%22	http://wbpreview.com/previews/WB03KT184/category.html	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/category.html	(from http://wbpreview.com/previews/WB03KT184/)
15:45:30	71743/71743	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf11-1183f%22	http://wbpreview.com/previews/WB03KT184/img/slider-1.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/slider-1.jpg	(from http://wbpreview.com/previews/WB03KT184/)
15:45:30	17957/17957	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf11-4625%22	http://wbpreview.com/previews/WB03KT184/img/slider-3.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/slider-3.jpg	(from http://wbpreview.com/previews/WB03KT184/)
15:45:30	16806/16806	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf0f-41a6%22	http://wbpreview.com/previews/WB03KT184/img/politics.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/politics.jpg	(from http://wbpreview.com/previews/WB03KT184/)
15:45:32	43577/43577	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf12-aa39%22	http://wbpreview.com/previews/WB03KT184/img/slider-2.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/slider-2.jpg	(from http://wbpreview.com/previews/WB03KT184/)
15:45:36	4643/4643	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf0f-1223%22	http://wbpreview.com/previews/WB03KT184/img/rooney.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/rooney.jpg	(from http://wbpreview.com/previews/WB03KT184/)
15:45:38	2356/2356	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf0d-934%22	http://wbpreview.com/previews/WB03KT184/img/70x70-1.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/70x70-1.jpg	(from http://wbpreview.com/previews/WB03KT184/)
15:45:38	67000/67000	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf0f-105b8%22	http://wbpreview.com/previews/WB03KT184/img/370x255-1.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/370x255-1.jpg	(from http://wbpreview.com/previews/WB03KT184/)
15:45:41	94840/94840	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22500ebf17-17278%22	http://wbpreview.com/previews/WB03KT184/js/jquery-1.7.2.min.js	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/js/jquery-1.7.2.min.js	(from http://wbpreview.com/previews/WB03KT184/)
15:45:41	50119/50119	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22500ebf14-c3c7%22	http://wbpreview.com/previews/WB03KT184/js/bootstrap.js	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/js/bootstrap.js	(from http://wbpreview.com/previews/WB03KT184/)
15:45:44	124/124	---M--	200	added ('OK')	image/png	etag:%22500ebf0c-7c%22	http://wbpreview.com/previews/WB03KT184/img/bg-slider.png	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/bg-slider.png	(from http://wbpreview.com/previews/WB03KT184/css/bootmagz_main.css)
15:45:45	968/968	---M--	200	added ('OK')	image/png	etag:%22500ebf11-3c8%22	http://wbpreview.com/previews/WB03KT184/img/widget_title_bg3.png	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/widget_title_bg3.png	(from http://wbpreview.com/previews/WB03KT184/css/bootmagz_main.css)
15:45:46	30866/30866	---MCZ	200	added ('OK')	text/html	etag:W/%22500ebf09-7892%22	http://wbpreview.com/previews/WB03KT184/index.html	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/index-2.html	(from http://wbpreview.com/previews/WB03KT184/)
15:45:52	54902/54902	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf0f-d676%22	http://wbpreview.com/previews/WB03KT184/img/blog-1.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/blog-1.jpg	(from http://wbpreview.com/previews/WB03KT184/blog.html)
15:45:52	1476/1476	---MCZ	200	added ('OK')	text/css	etag:W/%22500ebf0a-5c4%22	http://wbpreview.com/previews/WB03KT184/css/bootstrap-lightbox.css	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/css/bootstrap-lightbox.css	(from http://wbpreview.com/previews/WB03KT184/galleries.html)
15:45:52	7598/7598	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22500ebf13-1dae%22	http://wbpreview.com/previews/WB03KT184/js/bootstrap-lightbox.js	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/js/bootstrap-lightbox.js	(from http://wbpreview.com/previews/WB03KT184/galleries.html)
15:45:54	3463/3463	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf0f-d87%22	http://wbpreview.com/previews/WB03KT184/img/hillary_clinton.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/hillary_clinton.jpg	(from http://wbpreview.com/previews/WB03KT184/)
15:45:54	7380/7380	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf0d-1cd4%22	http://wbpreview.com/previews/WB03KT184/img/business.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/business.jpg	(from http://wbpreview.com/previews/WB03KT184/)
15:45:56	54493/54493	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf0d-d4dd%22	http://wbpreview.com/previews/WB03KT184/img/blog-2.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/blog-2.jpg	(from http://wbpreview.com/previews/WB03KT184/blog.html)
15:45:57	13826/13826	---M--	200	added ('OK')	image/png	etag:%22500ebf0e-3602%22	http://wbpreview.com/previews/WB03KT184/img/glyphicons-halflings.png	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/glyphicons-halflings.png	(from http://wbpreview.com/previews/WB03KT184/css/bootstrap.css)
15:45:57	8777/8777	---M--	200	added ('OK')	image/png	etag:%22500ebf0e-2249%22	http://wbpreview.com/previews/WB03KT184/img/glyphicons-halflings-white.png	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/glyphicons-halflings-white.png	(from http://wbpreview.com/previews/WB03KT184/css/bootstrap.css)
15:45:57	10512/10512	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf0c-2910%22	http://wbpreview.com/previews/WB03KT184/img/80x60-1.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/80x60-1.jpg	(from http://wbpreview.com/previews/WB03KT184/)
15:45:59	27305/27305	---MCZ	200	added ('OK')	text/html	etag:W/%22500ebf0a-6aa9%22	http://wbpreview.com/previews/WB03KT184/single.html	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/single.html	(from http://wbpreview.com/previews/WB03KT184/)
15:45:59	24082/24082	---M--	200	added ('OK')	image/png	etag:%22500ebf11-5e12%22	http://wbpreview.com/previews/WB03KT184/img/social_media_icon.png	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/social_media_icon.png	(from http://wbpreview.com/previews/WB03KT184/css/bootmagz_main.css)
15:45:59	25396/25396	---M--	200	added ('OK')	image/jpeg	etag:%22500ebf0e-6334%22	http://wbpreview.com/previews/WB03KT184/img/feat-category.jpg	/var/www/html/mylibs/wbpreview.com/previews/WB03KT184/img/feat-category.jpg	(from http://wbpreview.com/previews/WB03KT184/category.html)
